feature	ATF3	CTCF	E2F1	EGR1	FOXA1	FOXA2	GABPA	HNF4A	JUND	MAX	NANOG	REST	TAF1
ATF3_top3_+-0	0.00166363527882407	0.00148030240396054	0.00148899405128867	0.00149545404306801	0.00135629189859894	0.00183763899919424	0.00107919712657462	0.00142388680849286	0.00160956036930767	0.000953308132606257	0.00108406127384031	0.00131534999762088	0.00108669852236262
ATF3_top3_+-1	0.00483219097867603	0.00174728559327741	0.00141091509304363	0.00186054330448092	0.00162706923296018	0.00237787300304116	0.00118305611576964	0.00145075986019662	0.00400702813325137	0.000988678390748278	0.0014266918810124	0.00158029785553958	0.00164013274061202
ATF3_top3_+-3	0.00295542890262739	0.00138515463469866	0.00190978316483029	0.00140059673669324	0.0015814516757925	0.0022916713048055	0.000918446911302714	0.00187471412798848	0.00173909468905354	0.00126553640687537	0.000921513302386605	0.00115500805389604	0.00151407127506882
ATF3_top3_+-5	0.00169120366385608	0.00133418333162711	0.00107637244619023	0.00123873094844535	0.00144488943865174	0.00158469290001724	0.00116810353903486	0.00186268500905216	0.00121709319735252	0.000976540191968581	0.00151495046910658	0.00115152564827031	0.0010267622838989
ATF3_top3_+-7	0.00103409478708691	0.00128481162099415	0.00101957003092265	0.00107647537850223	0.00140437276943182	0.00162734326698678	0.00101406171717315	0.00103000533804182	0.00134434620087328	0.000916278132399849	0.00137350262144757	0.000764300373306836	0.00145330155660162
ATF3_top3_+-9	0.000963864688694159	0.00136747881282435	0.00125104713108078	0.00122279128591597	0.00159417485222571	0.00140904550999632	0.00111684697723198	0.000821035483879968	0.00152351051525826	0.00109480763349315	0.00157825084049065	0.00126138564551456	0.00151370128375456
ATF3_top3_+-11	0.00110911620529061	0.00124725341081268	0.000848876298971056	0.000893198798430476	0.00176867427117627	0.00126449593191872	0.00109781958099878	0.00157028118594795	0.00112584576491737	0.00087630429779341	0.00187511574054334	0.00125225129618248	0.000979630241163837
ATF3_top3_+-13	0.00114774166502684	0.00147869227742187	0.00101061404368602	0.00127160434135186	0.00136637750074957	0.00156922062821899	0.00125668867862443	0.00103282015187292	0.00144543223166548	0.0012953364289524	0.00186085390242328	0.00117892986267853	0.00117884297876348
ATF3_top4_+-0	0.00121638498808745	0.00179743571777885	0.00149549467962108	0.00163329963930473	0.00139425812384496	0.00179695315205678	0.00157197863713051	0.00115835603709241	0.00156692750413814	0.00124561014657381	0.00157141255481603	0.00153644003539871	0.00100822568440172
ATF3_top4_+-1	0.00284092121342626	0.00230301154225951	0.0021614505274204	0.00168135478373969	0.00158153880610118	0.00231250535833225	0.00136380752739202	0.00150169114977302	0.00250872639129052	0.00151424993124455	0.00167007488811486	0.00208599935606798	0.00174781468688355
ATF3_top4_+-3	0.00180513603671555	0.00149959453430131	0.00206289118150209	0.00169827696574216	0.00132336847442824	0.00239749955557773	0.00134522670839064	0.00158512511871537	0.00181033573140448	0.00113651087660642	0.00126770936908871	0.00134542732717063	0.00133051057042336
ATF3_top4_+-5	0.0014609317182815	0.00141050389747994	0.00199156320378616	0.00119064145414871	0.00180168482565565	0.00184783078488348	0.00146616493366752	0.00147763291190037	0.00121086429884026	0.00107025356985295	0.00146176120954175	0.00108125963855012	0.00132944995130482
ATF3_top4_+-7	0.00076640487718184	0.00141124933871876	0.00111180084286723	0.00132729417289258	0.00166506450164243	0.00148543393196369	0.00128655776177978	0.00168058820659406	0.00130897011925139	0.00102736794059423	0.00183946114524319	0.00125726872730952	0.00114168188305696
ATF3_top4_+-9	0.00092868308167234	0.00116474162049963	0.00119799324607938	0.000789925556054654	0.00174096790869825	0.00141606527486329	0.00105685938719439	0.001784880667772	0.00123729369843334	0.00104558096638329	0.00152891967384124	0.00119079368559255	0.000744586922067553
ATF3_top4_+-11	0.000947123857873942	0.00127969651414115	0.00112275360850054	0.00110873716268391	0.00138411443482187	0.00162794701748188	0.00121447166859994	0.00113749754485682	0.00137255470007202	0.000982144871103304	0.00174138407871515	0.00105419038079783	0.00101536305753693
ATF3_top4_+-13	0.00118405806366773	0.00141128310925962	0.000967063237279953	0.00128838324366527	0.00152073475883509	0.00160469796197476	0.00128724531269484	0.00117319996985984	0.00122389383619185	0.00089436985522066	0.00201212022851615	0.00109839662676148	0.00146484171249107
CTCF_top1_+-0	0.00331167073638789	0.0118114365351201	0.00120938403695074	0.00200862593983381	0.00146511872982546	0.0018282042323469	0.00151417956918712	0.00155223750754346	0.00439463158205999	0.00176397017513392	0.00336481535955442	0.00259483339042316	0.00261523560455662
CTCF_top1_+-1	0.00480396324281673	0.0290290341617412	0.00252765119716392	0.00272499553562961	0.0023684244563185	0.0021951245525338	0.00305177775305587	0.00174034886946972	0.00537225118288421	0.00189730645606923	0.0063100231692034	0.00406669535270007	0.00450549791321735
CTCF_top1_+-3	0.00332806195759943	0.00615547106543376	0.00241890700913626	0.00181177579978143	0.00215343741158425	0.00220924537788721	0.00311870922720766	0.00103282015187292	0.00451344999353528	0.00245520326784518	0.0019809089929022	0.00238053299937262	0.00454538186571699
CTCF_top1_+-5	0.00149659480943772	0.00321271950266641	0.00171539366494919	0.00163724358826919	0.00229753480690177	0.00206597527352713	0.00209299184339083	0.00131639460167786	0.00276928082335566	0.0014093024762416	0.00358055259057295	0.00131671098080361	0.0027613235041563
